Journal	Pubmed ID	All Authors (original order)	All Authors Number of Self-References	All Authors Percentage Self-References	Highest Self-Referencing Author	Number of Self-References (max. author)	Total Number of References	Percentage Self-References (max. author)	Manually Verified Number of Self-References (max. author)	Manually Verified Total Number of References	Manually Verified Percentage Self-References (max. author)
mBio	29895636	Dylan W White;Sarah R Elliott;Evan Odean;Lynne T Bemis;Anna D Tischler	1;2;0;0;6	2.5;5.0;0.0;0.0;15.0	Anna D Tischler	6	40	15	6	40	15
PlosPath	24968198	Eugene V Ryabov;Graham R Wood;Jessica M Fannon;Jonathan D Moore;James C Bull;Dave Chandler;Andrew Mead;Nigel Burroughs;David J Evans	3;1;1;1;1;1;1;2;2	4.11;1.37;1.37;1.37;1.37;1.37;1.37;2.74;2.74	Eugene V Ryabov	3	73	4.11	3	86	3.488372093
PlosGenet	29668692	Daniel Dar;Rotem Sorek	3;5	6.52;10.87	Rotem Sorek	5	46	10.87	5	51	9.803921569
PlosPath	23055932	Maryam Kamali;Ai Xia;Zhijian Tu;Igor V Sharakhov	0;3;1;5	0.0;7.14;2.38;11.9	Igor V Sharakhov	5	42	11.9	5	47	10.63829787
BMCmed	30961604	Vladeta Ajdacic-Gross;Margot Mutsch;Stephanie Rodgers;Anja Tesic;Mario Müller;Erich Seifritz;En-Young N Wagner;Roland von Känel;Markus A Landolt;Nina Steinemann;Viktor von Wyl;Enrique Castelao;Marie-Pierre F Strippoli;Jennifer Glaus;Caroline Vandeleur;Pedro M Marques-Vidal;Peter Vollenweider;Martin Preisig	4;1;4;0;4;0;0;2;0;0;0;4;0;0;3;0;3;9	6.15;1.54;6.15;0.0;6.15;0.0;0.0;3.08;0.0;0.0;0.0;6.15;0.0;0.0;4.62;0.0;4.62;13.85	Martin Preisig	9	65	13.85	9	71	12.67605634
PlosPath	33108395	Xin Wang;Zhuanchang Wu;Yuming Li;Yifan Yang;Changguang Xiao;Xiqian Liu;Xiao Xiang;Jianchao Wei;Donghua Shao;Ke Liu;Xufang Deng;Jiaqiang Wu;Yafeng Qiu;Beibei Li;Zhiyong Ma	1;1;0;2;0;0;0;5;5;3;3;0;4;4;6	1.47;1.47;0.0;2.94;0.0;0.0;0.0;7.35;7.35;4.41;4.41;0.0;5.88;5.88;8.82	Zhiyong Ma	6	68	8.82	7	68	10.29411765
JCellBiol	27646276	Ravikiran Kasula;Ye Jin Chai;Adekunle T Bademosi;Callista B Harper;Rachel S Gormal;Isabel C Morrow;Eric Hosy;Brett M Collins;Daniel Choquet;Andreas Papadopulos;Frédéric A Meunier	1;0;0;1;2;0;3;5;6;4;0	2.22;0.0;0.0;2.22;4.44;0.0;6.67;11.11;13.33;8.89;0.0	Daniel Choquet	6	45	13.33	6	45	13.33333333
BMCmed	25948112	Dora Romaguera;Heather Ward;Petra A Wark;Anne-Claire Vergnaud;Petra H Peeters;Carla H van Gils;Pietro Ferrari;Veronika Fedirko;Mazda Jenab;Marie-Christine Boutron-Ruault;Laure Dossus;Laureen Dartois;Camilla Plambeck Hansen;Christina Catherine Dahm;Genevieve Buckland;María José Sánchez;Miren Dorronsoro;Carmen Navarro;Aurelio Barricarte;Timothy J Key;Antonia Trichopoulou;Christos Tsironis;Pagona Lagiou;Giovanna Masala;Valeria Pala;Rosario Tumino;Paolo Vineis;Salvatore Panico;H Bas Bueno-de-Mesquita;Peter D Siersema;Bodil Ohlsson;Karin Jirström;Maria Wennberg;Lena M Nilsson;Elisabete Weiderpass;Tilman Kühn;Verena Katzke;Kay-Tee Khaw;Nick J Wareham;Anne Tjønneland;Heiner Boeing;José R Quirós;Marc J Gunter;Elio Riboli;Teresa Norat	4;0;2;2;4;3;5;2;3;3;1;1;0;0;0;1;3;1;5;4;8;0;1;2;1;5;6;6;5;2;0;1;0;0;2;1;0;5;1;9;8;1;2;11;8	12.5;0.0;6.25;6.25;12.5;9.38;15.62;6.25;9.38;9.38;3.12;3.12;0.0;0.0;0.0;3.12;9.38;3.12;15.62;12.5;25.0;0.0;3.12;6.25;3.12;15.62;18.75;18.75;15.62;6.25;0.0;3.12;0.0;0.0;6.25;3.12;0.0;15.62;3.12;28.12;25.0;3.12;6.25;34.38;25.0	Elio Riboli	11	32	34.38	11	34	32.35294118
PlosGenet	23818873	Shivani S Singh;David C Grainger	1;5	2.94;14.71	David C Grainger	5	34	14.71	5	35	14.28571429
PlosPath	28837667	Margery G Smelkinson;Annabel Guichard;John R Teijaro;Meghana Malur;Maria Eugenia Loureiro;Prashant Jain;Sundar Ganesan;Elina I Zúñiga;Robert M Krug;Michael B Oldstone;Ethan Bier	1;1;0;0;0;0;1;0;2;0;5	1.61;1.61;0.0;0.0;0.0;0.0;1.61;0.0;3.23;0.0;8.06	Ethan Bier	5	62	8.06	5	63	7.936507937
Genetics	19901071	Pamela E Hoppe;Johnnie Chau;Kelly A Flanagan;April R Reedy;Lawrence A Schriefer	2;0;0;0;1	4.65;0.0;0.0;0.0;2.33	Pamela E Hoppe	2	43	4.65	2	46	4.347826087
Genetics	32586890	Simon W A Titen;Makenna T B Johnson;Mario Capecchi;Kent G Golic	3;0;0;11	5.08;0.0;0.0;18.64	Kent G Golic	11	59	18.64	11	59	18.6440678
